VSLR, Tbright
113.092753,1.529302
112.246856,1.568301
111.400959,1.797245
110.555063,2.007230
109.709166,2.243231
108.863269,2.325562
108.017373,2.153898
107.171476,2.150867
106.325579,2.076013
105.479683,1.756322
104.633786,1.720867
103.787889,1.433600
102.941992,2.111584
102.096096,2.411274
101.250199,2.577977
100.404302,1.723071
99.558406,1.753961
98.712509,1.898165
97.866612,2.877353
97.020716,2.837087
96.174819,2.635076
95.328922,2.700167
94.483025,2.896784
93.637129,2.777002
92.791232,2.798466
91.945335,2.339935
91.099439,2.211777
90.253542,2.618599
89.407645,2.604017
88.561748,2.783673
87.715852,2.893297
86.869955,3.194943
86.024058,3.089023
85.178162,3.436348
84.332265,2.942001
83.486368,2.869794
82.640472,2.962098
81.794575,3.160690
80.948678,2.860248
80.102781,2.868185
79.256885,2.617698
78.410988,2.985760
77.565091,2.600047
76.719195,2.749712
75.873298,2.321499
75.027401,2.878416
74.181504,3.143249
73.335608,2.691665
72.489711,2.359880
71.643814,2.738422
70.797918,2.871856
69.952021,2.770993
69.106124,2.724060
68.260228,2.763656
67.414331,3.387490
66.568434,3.697204
65.722537,3.463606
64.876641,3.649957
64.030744,3.600821
63.184847,4.000505
62.338951,4.285345
61.493054,4.222243
60.647157,3.393057
59.801261,3.238954
58.955364,4.043582
58.109467,4.214094
57.263570,3.872068
56.417674,4.238075
55.571777,4.271582
54.725880,4.050585
53.879984,4.204719
53.034087,4.135254
52.188190,3.854794
51.342293,3.620329
50.496397,4.166639
49.650500,4.075252
48.804603,4.398209
47.958707,4.333753
47.112810,4.024596
46.266913,4.286016
45.421017,4.380749
44.575120,4.197991
43.729223,4.531229
42.883326,4.053615
42.037430,4.277345
41.191533,4.884610
40.345636,4.889443
39.499740,4.506332
38.653843,4.993643
37.807946,5.207791
36.962049,6.246195
36.116153,5.907086
35.270256,6.036201
34.424359,5.714150
33.578463,5.934956
32.732566,7.063174
31.886669,7.220385
31.040773,7.252020
30.194876,8.132616
29.348979,8.076417
28.503082,8.141603
27.657186,8.911373
26.811289,10.048811
25.965392,10.329918
25.119496,10.287587
24.273599,11.022647
23.427702,11.910356
22.581806,12.232809
21.735909,12.846235
20.890012,14.290516
20.044115,14.812294
19.198219,15.414978
18.352322,16.373965
17.506425,17.516781
16.660529,18.236056
15.814632,19.204030
14.968735,19.595542
14.122838,19.766085
13.276942,19.935178
12.431045,20.468910
11.585148,20.626926
10.739252,20.093555
9.893355,20.099819
9.047458,19.982731
8.201562,20.223952
7.355665,20.601605
6.509768,21.317895
5.663871,22.700567
4.817975,24.151854
3.972078,25.831147
3.126181,28.259722
2.280285,30.165834
1.434388,32.069420
0.588491,33.284099
-0.257406,34.862233
-1.103302,35.751610
-1.949199,36.999367
-2.795096,37.127391
-3.640992,36.767552
-4.486889,36.027148
-5.332786,33.884623
-6.178682,32.382740
-7.024579,30.105000
-7.870476,28.006669
-8.716373,25.874058
-9.562269,22.460715
-10.408166,19.183458
-11.254063,16.610310
-12.099959,13.419000
-12.945856,10.662205
-13.791753,8.805103
-14.637649,7.785037
-15.483546,6.964110
-16.329443,6.189385
-17.175340,5.837277
-18.021236,5.569359
-18.867133,5.630543
-19.713030,5.213962
-20.558926,4.795136
-21.404823,4.686010
-22.250720,3.800496
-23.096617,3.777102
-23.942513,3.757388
-24.788410,3.349431
-25.634307,3.993084
-26.480203,3.865054
-27.326100,4.015745
-28.171997,3.513955
-29.017893,3.137695
-29.863790,3.623804
-30.709687,4.134017
-31.555584,3.657814
-32.401480,3.204998
-33.247377,2.288750
-34.093274,2.963955
-34.939170,2.969822
-35.785067,2.989285
-36.630964,3.180845
-37.476861,3.284822
-38.322757,3.425224
-39.168654,3.227332
-40.014551,3.064133
-40.860447,3.208526
-41.706344,2.670238
-42.552241,2.592183
-43.398137,2.725857
-44.244034,2.795961
-45.089931,2.681095
-45.935828,2.616658
-46.781724,2.516218
-47.627621,2.222800
-48.473518,1.814042
-49.319414,2.466855
-50.165311,2.544608
-51.011208,1.685140
-51.857104,1.540832
-52.703001,1.863681
-53.548898,1.665287
-54.394795,1.674913
-55.240691,2.091397
-56.086588,2.117053
-56.932485,1.977188
-57.778381,1.987776
-58.624278,1.538971
-59.470175,0.901261
-60.316072,0.711474
-61.161968,0.783075
-62.007865,0.888838
-62.853762,1.588062
-63.699658,1.754473
-64.545555,1.495574
-65.391452,0.502358
-66.237348,1.225186
-67.083245,0.865105
-67.929142,0.820294
-68.775039,0.705965
-69.620935,0.653644
-70.466832,0.730214
-71.312729,0.292318
-72.158625,0.291715
-73.004522,0.388474
-73.850419,0.416995
-74.696316,0.695749
-75.542212,1.208339
-76.388109,0.968344
-77.234006,1.028551
-78.079902,0.684598
-78.925799,0.906840
-79.771696,1.057745
-80.617592,0.960712
-81.463489,0.705035
-82.309386,0.967181
-83.155283,1.108464
-84.001179,0.615291
-84.847076,0.655246
-85.692973,1.143522
-86.538869,1.112159
-87.384766,0.525392
-88.230663,0.220421
-89.076559,0.848101
-89.922456,0.892032
-90.768353,0.403842
-91.614250,1.173314
-92.460146,1.271558
-93.306043,0.834757
-94.151940,0.893421
